date,item,store,price,url
2026-05-26,Chicken thigh,Caprabo,5.24,https://www.capraboacasa.com/es/productdetail/19229004-muslo-de-pollo-deshuesado-con-piel-eroski-bandeja-aprox-675-g/
2026-05-26,Plain natural yogurt,Caprabo,1.33,https://www.capraboacasa.com/es/productdetail/4810149-yogur-natural-eroski-basic-pack-8x125-g/
2026-05-26,Eggs (up to 12),Caprabo,3.00,https://www.capraboacasa.com/es/productdetail/19548627-huevo-fresco-m-suelo-cataluna-eroski-carton-1-docena/
2026-05-26,Brown rice,Condis,1.99,https://compraonline.condis.es/arroz-nomen-integral-1-kg/p/103060/es_ES
2026-05-26,Dried lentils,Condis,1.75,https://compraonline.condis.es/lentejas-condis-roja-extra-1-kg/p/104052/es_ES
2026-05-26,Cooked chickpeas,Condis,1.88,https://compraonline.condis.es/garbanzos-extra-condis-cocidos-400-g/p/511045/es_ES
2026-05-26,Dried white beans,Condis,2.49,https://compraonline.condis.es/alubias-condis-blancas-extra-1-kg/p/104049/es_ES
2026-05-26,Potato,Condis,1.49,https://compraonline.condis.es/patata-pequeña-bolsa-1-kg/p/191652/es_ES
2026-05-26,Sweet potato,Condis,2.49,https://compraonline.condis.es/boniato-2-unidades-700g-aprox./p/190060/es_ES
2026-05-26,Onion,Condis,1.25,https://compraonline.condis.es/cebolla-condis-bolsa-1-kg/p/191095/es_ES
2026-05-26,Carrot,Condis,1.50,https://compraonline.condis.es/zanahoria-500g-aprox./p/191960/es_ES
2026-05-26,Bell pepper,Condis,2.95,https://compraonline.condis.es/pimiento-rojo-2-unidades-650g-aprox./p/191688/es_ES
2026-05-26,Mushroom,Condis,6.36,https://compraonline.condis.es/champiñón-condis-pie-cortado-250-g/p/191177/es_ES
2026-05-26,Cauliflower,Condis,3.33,https://compraonline.condis.es/coliflor-1-unidad/p/191128/es_ES
2026-05-26,Spinach,Condis,4.63,https://compraonline.condis.es/espinacas-condis-300-g/p/194046/es_ES
2026-05-26,Green beans,Condis,6.00,https://compraonline.condis.es/judía-bobi-500g-aprox./p/191420/es_ES
